Unix,Open,High,Low,Close,Volume
2024-10-25,2535.82,2566.33,2382.59,2440.62,514799.8822
2024-10-24,2524.6,2562.65,2507.31,2535.82,290851.7842
2024-10-23,2622.81,2628.2,2450.0,2524.61,352647.7086
2024-10-22,2666.71,2671.92,2606.56,2622.81,265747.713
2024-10-21,2746.91,2769.48,2655.01,2666.7,310674.7232
2024-10-20,2648.2,2759.0,2635.54,2746.91,256910.7448
2024-10-19,2642.17,2663.49,2631.02,2648.2,105413.7646
2024-10-18,2605.79,2675.58,2596.49,2642.17,292444.1153
2024-10-17,2611.1,2648.37,2575.4,2605.8,221624.5434
2024-10-16,2607.41,2647.79,2588.67,2611.1,260322.4242
2024-10-15,2629.79,2688.6,2537.36,2607.41,416285.6663
2024-10-14,2468.92,2654.0,2443.39,2629.79,435900.1619
2024-10-13,2476.4,2484.92,2436.4,2468.91,120022.8179
2024-10-12,2439.49,2490.51,2434.35,2476.4,139637.5062
2024-10-11,2386.49,2471.45,2381.86,2439.5,235441.2197
2024-10-10,2370.47,2421.36,2330.66,2386.49,257862.9619
2024-10-09,2440.88,2473.61,2351.42,2370.47,242082.2725
2024-10-08,2422.7,2466.66,2401.18,2440.89,201358.3312
2024-10-07,2440.02,2521.0,2403.0,2422.71,300459.5407
2024-10-06,2414.66,2457.8,2407.0,2440.03,105752.7096
2024-10-05,2414.41,2428.23,2390.05,2414.66,103740.2316
2024-10-04,2349.8,2441.64,2339.15,2414.41,239383.017
2024-10-03,2364.09,2403.38,2310.0,2349.8,314635.9263
2024-10-02,2447.78,2499.0,2352.0,2364.1,317484.735
2024-10-01,2602.24,2659.0,2414.0,2447.79,502828.6804
2024-09-30,2657.62,2663.5,2575.0,2602.23,282475.7961
2024-09-29,2675.21,2683.7,2629.73,2657.62,160554.3146
2024-09-28,2694.43,2704.35,2650.0,2675.21,137230.0342
2024-09-27,2632.25,2728.6,2615.21,2694.43,281826.9792
2024-09-26,2580.09,2666.22,2559.2,2632.26,278686.3573
2024-09-25,2653.2,2673.5,2554.05,2579.95,220343.4293